A,,,,,"   Indicators MAIN IDEAS 1) PROOF OF CONTINUED EXISTENCE, OR DEATH 2) DID THEY RAISE $$, WHAT FORM, AND HOW MUCH 3) COMMUNITY (e.g., jobs) OR ENVIRONMENTAL IMPACT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Name,Founder/Submitter,Industry,Year,Region,1-1) QUICK GLANCE AT COMPANY FOR PROOF OF EXISTENCE,From 2024 Data ,From 2024 Data ,From 2026 onwards,,  1-1) ONLINE PRESENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-2) IN-DEPTH RESEARCH FOR MORE PROOF (CHECK IF NEEDED),"   1-2) ADDITIONAL PROOF OF CONTINUED EXISTENCE, OR DEATH",,,,,,,,,,,,,,,2) EVIDENCE OF CAPITAL RAISES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accelerator,,,,3) Community or Environmental Impact,,,,,,,,,,,,,,,,,,,,
,,,,,,"Status as of 2024, Y=Alive, N=Dead, S=Maybe, A=Acquire",,Still Alive?,,Company Website (Google Search),,,,LinkedIn (Website),,,,,,,,,,,,,,,Online reviews,,,News articles,,,,,,Word of mouth,,,,,,,,Continued Membership in Industry Organizations (wiki),,,,Websites tracking failures,News stories,N,,,SEC Reg D filings (website here),,,,,,Website url,,,,Number of Funding Rounds,,,Total (disclosed) Funding Amount ($USD),,,,,,Latest Funding Year,,,,,Latest Funding Amount ($USD),,,,,,"Latest Funding Type (friends&family, seed, A-round, grant, etc)",,,,,Earliest Funding Year,,,,,Funding Type with most money raised,,,,,Year with most money raised,,,,,News about capital raise,,,,Word of mouth,,,,,Evidence of Expansion/Growth,,,,,,,Evidence of Global Expansion,,Evidence of environmental impact,,,,,,,,,,SCORED BY,DATE OF COMPLETION
"C-Quester, Inc.",Dr. Clément Cid,Chemicals & Advanced Materials,2023,Northeast,,,,Y,2026,https://mitico.tech,Y,2025,Active — carbon capture product pages,Y,https://www.linkedin.com/company/mitico-tech,Y,2025,Y,,Dobelle (CEO); Clément Cid; Alan Gu,,,,,,,,N,N/A,N,,,Y,2025,https://techcrunch.com (Disrupt); https://mitico.tech/news,N,N/A,N/A,N,Y,2025,N,N/A,,,,,,,,Rebranded C-Quester → Mitico (Caltech carbon-capture spinout). SEC CIK 0002056548. Form D filed 2025-03-13. Total raised $5.75M. Equity type: LP interests / Units. Website: mitico.tech. LinkedIn: mitico-tech.,N,N/A,N,Y,2025,LP interests / Units,,5750000,5750000,,,,,,,,"$5.75M total (LP interests / Units, multiple rounds)",USD,03/2025,Equity (LP interests),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,2025,$5.75M (USD),Y,Y,Caltech spinout / entrepreneurship program,2023,,,,,,,,,N,,N,,,N,,,N,,N,,Zesang,
Spirited,Not found publicly,Information & Communication Tech,2023,West,,,2023,S,2026,https://spiritedbio.com,Y,2024,Grant announcement,Y,https://www.linkedin.com/company/spiritedbio,N,,Y,,William P. Meehan Jr.,https://www.linkedin.com/in/williammeehan,,,,,,,N,N/A,N,,,Y,2024,https://bluegrassagtech.org (2024 grant recipient),N,N/A,N/A,N,,,N,N/A,,,,,,,,PHA bioplastic from bourbon distillery waste (SpiritedBio). Bluegrass AgTech grant 2024. Founder: William P. Meehan Jr. No Crunchbase. No SEC equity filings.,N,N/A,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,Y,Bluegrass AgTech,2023,,,,,,,,,N,,N,,,N,,,N,,N,,Zesang,
"ergSol, Inc.",Wolfgang Weiss; Monika Weiss,Energy Generation,2023,West,,,2023,Y,2026,https://ergsol.com,Y,2023,"Static — case studies, about page",Y,https://www.linkedin.com/company/ergsol,N,,Y,,Wolfgang Weiss (CEO); Monika Weiss,,,,,,,,N,N/A,N,,,N,,,N,N/A,N/A,N,N,,N,N/A,,,,,,,,Solar thermal for industrial heat. Fairfield CA. Founded ~2010. DUNS 832003359. Founders: Wolfgang Weiss (CEO) + Monika Weiss. No equity raises. Likely bootstrapped/grant funded.,N,N/A,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,N,,,,,,,,,,,N,,N,,,N,,,N,,N,,Zesang,
Phlytech,Antonio Gill,Agriculture Water & Waste,2023,International,,,2023,N,2023,N/A — no website found,N,,,N,,,,N,,Ken Caliwara; Antonio Gil; Pammy Moran; Abhyudaya Motani; Jan-Paul Schwarz; Felipe Vinas,,,,,,,,N,N/A,N,,,Y,2023,environment.usc.edu (Wrigley Prize 2023),N,N/A,N/A,N,,,N,N/A,,,,,,,,"Black soldier fly larvae protein from food waste. USC student team — 6 co-founders. Won $20K USC Wrigley Institute Prize 2023. No website, no LinkedIn company page, no SEC filings. Possible early-stage or inactive post-USC.",N,N/A,N,N,,,,,,https://www.crunchbase.com/organization/phlytech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,Y,USC Wrigley Institute,2023,,,,,,,,,N,,N,,,N,,,N,,N,,Zesang,
eeLi Technology,Dr. Mert Akin,Energy Distribution & Storage,2023,International,,,2023,S,2026,https://eeli.tech,Y,2025,"Active — careers, news, tech pages",Y,https://www.linkedin.com/company/eeli-technology,Y,2025,Y,,Dr. Mert Akin (Founder & CEO),https://www.linkedin.com/in/mertakinn/,,2025,x.com/eelitechnology,,,,N,N/A,N,,,Y,2025,https://lightray.vc/news/light-ray-ventures-invests-in-eeli-technologys-pre-seed-round; https://calseed.fund/awardee/eeli-technology-inc/,N,N/A,N/A,N,N,,N,N/A,,,,,,,,"Electrochemical Direct Lithium Extraction (EDLE) from low-grade brines. Alameda CA, founded 2023, 3 employees. Funding: Light Ray Ventures pre-seed (amt undisclosed) + CalSEED $500K Cohort 7 + O'Shaughnessy Ventures equity-free grant 2024. No Form D on EDGAR. PitchBook: 589602-70.",N,N/A,N,N,,,,,,https://www.crunchbase.com/organization/eeli-technology,pitchbook.com/profiles/company/589602-70,,,,,,Pre-seed Light Ray Ventures (amt undisclosed) + CalSEED $500K grant,USD,2024,Pre-seed + Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,lightray.vc/news/light-ray-ventures-invests-in-eeli-technologys-pre-seed-round,2024,"Pre-seed (Light Ray Ventures, amt undisclosed) + CalSEED $500K grant (USD)",Y,Y,Activate (Cyclotron Road/LBNL) 2024; UC Berkeley SkyDeck C2M 2025; DOE Lab-Embedded Entrepreneurship Program 2025,2025,,,,,,,,,N,,N,,,N,,,N,,N,,Zesang,
Westwood Aerogel,Dr. Patricia McNeil; Daniel Farzannekou,Chemicals & Advanced Materials,2023,Northeast,,,,Y,2026,https://westwoodaerogel.com,Y,2025,"Active — product pages, news",Y,https://www.linkedin.com/company/westwood-aerogel,Y,2024,Y,,Patricia McNeil (CEO); Daniel Farzannekou (Co-Founder),https://www.linkedin.com/in/patricia-mcneil-7pkp732/,,,,,,,N,N/A,N,,,Y,2025,https://calseed.fund/meet-the-2025-calseed-prototype-awardees; https://enduringplanet.com (case study),N,N/A,N/A,N,N,,N,N/A,,,,,,,,ZeroTherm aerogel insulation via ambient drying. EV battery thermal mgmt + building insulation. Founded 2023. Funding: Techstars Space $20K pre-seed (Oct 2023); NSF SBIR Phase I (2024-2025); CalSEED Prototype Award $500K (2025). No Form D. Partnership: Enduring Planet.,N,N/A,N,N,,,,,,https://www.crunchbase.com/organization/westwood-aerogel,,,,,,,20000,USD,Oct 2023,Pre-seed (Techstars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,calseed.fund/awardee/westwood-aerogel-co/,2025,$500K CalSEED grant + NSF SBIR Phase I (amt undisclosed) + $20K Techstars (USD),Y,Y,Techstars Space 2023; Activate Global (Cyclotron Road/LBNL); NSF SBIR,2023,,,,,,,,,N,,N,,,N,,,N,,N,,Zesang,
Ecotech Research Center,Not found publicly,Agriculture Water & Waste,2023,International,,,,Y,2026,https://ecotechrc.com,Y,2024,"Static — tech descriptions, contact",N,,N,,N,,"James C. Lu (CEO, CFO, Director, Secretary)",https://www.linkedin.com/in/james-lu-8497331/ (unconfirmed),,,,,,,N,N/A,N,,,N,,,N,N/A,N/A,N,N,,N,N/A,,,,,,,,"Ecological protection tech — HiSAP (organic waste→nutrients/energy), 4-in-1 mCDR marine carbon removal, osmotic energy generation. 20+ IPs. Huntington Beach CA. Incorporated Nov 2021. CEO: James C. Lu. No LinkedIn, no Twitter, no news, no SEC filings. PitchBook: 593195-14.",N,N/A,N,N,,,,,,https://www.crunchbase.com/organization/ecotech-research-center,pitchbook.com/profiles/company/593195-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,N,,,,,,,,,,,N,,N,,,N,,,N,,N,,Zesang,
Revolve Solar,Hans Stedman,Energy Generation,2023,West,,,,N,2026,https://revolve.solar,Y,2026,Privacy policy updated Jan 8 2026; active project installs (fall 2025),Y,https://www.linkedin.com/company/revolvesolar,N,,Y,,Hans Stedman (Founder & CEO),https://www.linkedin.com/in/hans-stedman/,,2025,x.com/revolvesolar,,,,N,N/A,N,,,Y,2025,nextcyclewashington.com/team-bios/resolar; Cleantech Open National profile,N,N/A,N/A,N,N,,N,N/A,,,,,,,,"Second-life solar panels → modular off-grid energy systems. Seattle/Pacific NW. Revolve Solar LLC in WA state (Oct 27 2022, doc #604985682). Founder: Hans Stedman (Blue Origin/Tesla alum, MS UPenn). NOTE: Crunchbase shows 'permanently closed' — contradicted by active website Jan 2026 + project installs fall 2025. Stale Crunchbase data. No equity raises.",N,N/A,N,N,,,,,,https://www.crunchbase.com/organization/revolve-solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,Y,NextCycle Washington,2024,,,,,,,,,N,,N,,,N,,,N,,N,,Zesang,
AnywherEnergy Systems Inc.,Thomas Furnas; Andrew J. Marsh,Energy Distribution & Storage,2023,West,,,,Y,2026,https://anywherenergysystems.com,Y,2025,"Active — product info, scheduling link",Y,https://www.linkedin.com/company/anywherenergy-systems-inc,N,,Y,,Benson P. Lee (Founder/CEO); Andrew J. Marsh (Co-Founder/Strategic Advisor); Thomas Furnas (Co-Founder/CEO),https://www.linkedin.com/in/benson-p-lee-8a93b/; https://www.linkedin.com/in/andrewmarshpe/,,,,,,,N,N/A,N,,,N,,,N,N/A,N/A,N,N,,N,N/A,,,,,,,,"Modular SOFC (solid oxide fuel cell) power generators — multi-fuel, ultra-low carbon, 2-3x more efficient than ICE. Target: luxury RV/yacht → microgrids/military/trucks. Cleveland OH. Founders: Benson P. Lee (Cornell), Andrew J. Marsh (35yr fuel cell exec, ex-CEO LG Fuel Cell Systems), Thomas Furnas. L3C structure. No Form D, no Crunchbase, no news. PitchBook: 532869-58.",N,N/A,N,N,,,,,,https://www.crunchbase.com/organization/anywherenergy-systems,pitchbook.com/profiles/company/532869-58,,,,,,N/A — no public equity raise found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,Y,BRITE Energy Innovators (Ohio); JumpStart Inc. (Cleveland); I-Corps I & II,2023,,,,,,,,,N,,N,,,N,,,N,,N,,Zesang,
"Adhesion technologies, Inc.",Not found publicly,Chemicals & Advanced Materials,2023,Midwest,,,,Y,2025,N/A — no standalone website confirmed; related: lab-tomarket.com,N,,,Y,linkedin.com/company/adhesion-technologies,N,,N,,N/A — founder not identified in public sources,,,,,,,,N,N/A,N,,,N,,,N,N/A,N/A,N,N,,N,N/A,,,,,,,,Bio-based adhesives for furniture — replaces toxic formaldehyde/VOC glues (corn ethanol waste-derived). Cambridge MA. Funding: MassCEC $75K grant + MassVentures. No founder names in public sources. Related website: lab-tomarket.com. PitchBook: 592921-54.,N,N/A,N,N,,,,,,https://www.crunchbase.com/organization/adhesion-technologies,pitchbook.com/profiles/company/592921-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,2023,$75K MassCEC grant (USD) + MassVentures (amt undisclosed),Y,Y,MassVentures,2023,,,,,,,,,N,,N,,,N,,,N,,N,,Zesang,
Amply Energy,Ed Smith; Eric Fitz,Energy Distribution & Storage,2023,West,,,,Y,2026,https://amply.energy,Y,2026,Blog/podcast active Feb 2026 (Ep. 47-56),Y,https://www.linkedin.com/company/amply-energy,Y,2026,Y,,"Eric Fitz (Co-founder, CEO/CTO); Ed Smith (Co-founder, COO)",https://www.linkedin.com/in/ehfitz; https://www.linkedin.com/in/ed-smith-5aa8716/,,2025,x.com/amplyenergy,,,,N,N/A,N,,,Y,2025,https://mainebiz.biz/article/green-and-growing-3-startups-powering-maines-eco-economy,N,N/A,N/A,N,Y,2023,N,N/A,,,,,,,,"B2B SaaS for HVAC heat pump contractors — LiDAR scanning, ACCA Manual J load calc, 3D design, quote gen, rebate mgmt. iOS app: Amply Heat Pump Copilot. South Portland ME, founded 2021. Founders: Eric Fitz + Ed Smith. SEC CIK 1967438 (Form D 2023). Funding: ~$1M total (MTI $100K + Kayak Ventures + Roux Institute + angels). ACCA certified Jul 2024. Partnership: Quilt Oct 2025. Active 28 states + Canada.",N,N/A,N,Y,2023,,,,,https://www.crunchbase.com/organization/amply-energy,,,,,,,~$1M total (MTI $100K grant + Kayak Ventures + Roux Institute + angels),USD,2023,Grant + Angel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,info.amply.energy/blog/amply-awarded-50k-grant-from-the-maine-technology-institute,2023,~$1M total (USD): MTI grant $100K + Kayak Ventures + Roux Institute + angels + founders (2021-2023),Y,Y,Maine Technology Institute (MTI),2023,,,,,,,,,N,,N,,,N,,,N,,N,,Zesang,
Bamboo Energy,Manel Sanmartí; Cristina Corchero,Energy Efficiency,2023,West,,,,Y,2026,https://bambooenergy.tech,Y,2026,"Active — news, blog, partnerships (May 2026)",Y,https://www.linkedin.com/company/bambooenergy,Y,2026,Y,,"Cristina Corchero PhD (Co-founder, CTO); Manel Sanmartí (Co-founder, CEO); Mattia Barbero PhD; Alex Gomar Manresa (Co-founder)",https://www.linkedin.com/in/cristina-corchero/; https://www.linkedin.com/in/manel-sanmarti-0879146/,,2020,x.com/bamboo_platform,,,,N,N/A,N,,,Y,2026,Forbes España May 2026; https://cleantechopen.org (NE 2023),N,N/A,N/A,N,N,,N,N/A,,,,,,,,"Cloud SaaS demand-response flexibility aggregation for energy retailers/aggregators. AI/ML optimization, IoT DER integration. Barcelona Spain. Bamboo Energy S.L. 35 employees (2025). Founded ~2020. Funding: $3.72M total (PitchBook); pre-seed Mar 2023 lead Ship2B; investors: Google for Startups, EIT InnoEnergy, IDAE, ACCIÓ. Forbes España coverage May 2026. Very active — daily LinkedIn, European conference presence.",N,N/A,N,N,,,,,,https://www.crunchbase.com/organization/bamboo-energy,pitchbook.com/profiles/company/469851-40,,,,,,3720000,USD (per PitchBook; actual EUR likely),Mar 2023 (pre-seed),Pre-seed; Ship2B lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,2023,"$3.72M total (USD per PitchBook; likely EUR — Spanish entity); Google for Startups, EIT InnoEnergy, IDAE, ACCIÓ, Ship2B",Y,Y,Google for Startups AI for Energy; ACCIÓ (Catalan Agency for Business Competitiveness),2023,,,,,,,,,N,,N,,,N,,,N,,N,,Zesang,
BlockCarbon,Alvin Tian,Information & Communication Tech,2023,Northeast,,,,Y,2026,https://blockcarbon.earth,Y,2025,Active — research publications Dec 2025,Y,https://www.linkedin.com/company/blockcarbon,Y,2025,Y,,Alvin Ye Tian (CEO),https://www.linkedin.com/in/alvin-ye-tian-4b284522/,,,,,,,N,N/A,N,,,Y,2023,https://news.harvard.edu/gazette/story/2023/05/presidents-innovation-challenge-awards-515000-to-winning-ventures/; https://techcrunch.com (Disrupt 2023 Battlefield 200),N,N/A,N/A,N,N,,N,N/A,,,,,,,,"Remote sensing + AI + blockchain for nature-based carbon credits in Asia-Pacific. CEO Alvin Tian: MIT Sloan MBA, Harvard Kennedy MPA. Harvard Innovation Labs (Cambridge MA). Funding: $100K Harvard Innovation Labs grant (Mar 2023). Research: Smart Agricultural Technology paper Dec 2025 (tree height estimation R²=0.75). No Form D. 2-10 employees.",N,N/A,N,N,,,,,,https://www.crunchbase.com/organization/blockcarbon,,,,,,,$100K Harvard Innovation Labs grant,USD,03/2023,Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,news.harvard.edu/gazette/story/2023/05/presidents-innovation-challenge-awards-515000-to-winning-ventures/,2023,$100K Harvard Innovation Labs grant (USD),Y,Y,Harvard Innovation Labs; TechCrunch Startup Battlefield 200,2023,,,,,,,,,N,,N,,,N,,,N,,N,,Zesang,
BLUEiQ,Kim Gavin; Robert J. McGurrin,Information & Communication Tech,2023,Southeast,,,,Y,2026,https://blueiq.us,Y,2026,"Active newsroom — NOAA Feb 2026, TRIDENT SPECTRE Mar 2025",Y,https://www.linkedin.com/company/blueiqus,Y,2025,Y,,Kim Gavin (CEO & Founder); Robert McGurrin (CTO & Co-Founder),https://www.linkedin.com/in/kimgblueiq/; https://www.linkedin.com/in/robert-j-mcgurrin-7242882/,,2025,x.com/BlueIQus,,,,N,N/A,N,,,Y,2026,https://techpartnerships.noaa.gov (Feb 2026); https://bostonglobe.com (Dec 2024); https://bristlemouth.org (2025),N,N/A,N/A,N,N,,N,N/A,,,,,,,,"OpenEar — software-defined hydrophone with edge AI for passive acoustic monitoring. Uses: North Atlantic Right Whale strike prevention, wind farm noise mitigation, illegal fishing detection, coral reef monitoring, military/port defense (TRIDENT SPECTRE 2025). Boston MA / Newport RI / Gulfport MS. Founded 2023. WOSB certified. Funding: MassChallenge U.S. 2024 + NOAA CRADA. NOAA Feb 2026 feature. Active defense contracts.",N,N/A,N,N,,,,,,https://crunchbase.com/organization/blueiq,,,,,,,MassChallenge grant (amt undisclosed) + NOAA CRADA,USD,2024,Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,Y,MassChallenge U.S. 2024; NOAA CRADA 2025,2025,,,,,,,,,N,,N,,,N,,,N,,N,,Zesang,
Upward (formerly Canopy),Max McCafferty,Information & Communication Tech,2023,Northeast,,,,N,2023,Dead website,,,,,https://www.linkedin.com/company/upward-climate/about/,,,,,Founder lists as a past activity,https://www.linkedin.com/in/eric-mandell/,,,,,,,N,N/A,N,,,N,,,N/A — no end-of-biz news found,N/A,N/A,Possible: low public activity since 2023; no confirmation of shutdown,N,,N,N/A,,,,,,,,"Climate action app — credit card carbon footprint tracking, reduction recs, B2B employee benefit carbon offsets. Legal entity: Canopy Climate Technologies Inc. Boston MA. Founder: Max McCafferty. Crunchbase under 'Canopy' (canopy-c064). No Twitter. No news post-2023. No Form D. Signs of possible quiet phase / low activity post-2023.",N,N/A,N,N,,,,,,https://crunchbase.com/organization/canopy-c064,,,,,,,N/A — no public equity raise found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,N,,,,,,,,,,,N,,N,,,N,,,N,,N,,Zesang,
Circular Interiors,Christian Wu,Green Buildings,2023,Northeast,,,,N,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haoran,
Clean Flame Thermal Solutions,Michele Putko,Energy Efficency,2023,Northeast,,Y,2023,Y,2026,https://www.cleanflameus.com/,,,,,https://www.linkedin.com/company/clean-flame-thermal-solutions/,,,,,Michele Putko,https://www.linkedin.com/in/michele-putko-phd-pe-3b4bb211/,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Cleantech Open 2023 (Northeast National Finalist),N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/clean-flame,,,,,,,$0,USD,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Haoran,5/8/2026
Cleonmaye Corp.,"Dr. Ryan Letts, DBA",Energy Efficiency,2023,Northeast,,Y,2021,Y,2025,https://cleonmaye.com/,Y,2025,product/news,Y,https://www.linkedin.com/company/the-cleonmaye-corporation/,,,,,"Dr. Ryan Letts, DBA",https://www.linkedin.com/in/dr-ryan-letts-dba/,N,N,N,N,N,N,N,N,N,N,Y,2023,https://www.cleantechopen.org/en/custom/blog/view/107741,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2023 (Northeast National Finalist),N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/cleonmaye,,,,,,,$0,USD,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,https://cleonmaye.com/ (renewable and reusable energy innovation; energy efficiency),Haoran,5/8/2026
Cold Volt,Ramuel Maramara,Energy Efficency,2023,Northeast,,S,2022,S,2022,Dead website,N,N,N,Y,https://www.linkedin.com/company/cold-volt-inc/,,,,,Ramuel Maramara,https://www.linkedin.com/in/maramara/,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2023,N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/cold-volt,,,,,,,$0,USD,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Haoran,5/8/2026
"Crum Creek Technologies, LLC",Doug Corrigan,Energy Distribution & Storage,2023,Northeast,,S,2021,S,2021,https://www.crumcreektech.com/,N,N,N,N,N,,,,,Doug Corrigan,https://www.linkedin.com/in/doug-corrigan-7022264/,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2023,N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/crum-creek-technologies,,,,,,,$0,USD,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Haoran,5/8/2026
DetoXyFi,Dhananjay Goel,"Agriculture, Water & Waste",2023,Northeast,,Y,2024,Y,2025,https://www.detoxyfi.com/,Y,2025,product/news,Y,https://www.linkedin.com/company/detoxyfi-water/,,,,,Dhananjay Goel,https://www.linkedin.com/in/goeldhananjay/,N,N,N,N,N,N,N,N,N,N,Y,2024,https://detoxyfi.com/,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2023,N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/detoxyfi,,,,,,,$0,USD,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,Y,MassChallenge,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,https://detoxyfi.com/ (PFAS and heavy metal water remediation technology),Haoran,5/8/2026
Ellexco,Lingchen Kong,Energy Generation,2023,Southeast,,Y,2023,Y,2025,https://www.ellex.co/,Y,2025,product/news,Y,https://www.linkedin.com/company/ellexco/,,,,,Lingchen Kong,https://www.linkedin.com/in/lingchen-charles-kong/,N,N,N,N,N,N,N,N,N,N,Y,2025,https://www.ellex.co/,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2023 (Northeast Regional Winner); DOE; ARPA-E; Greentown Labs,N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/ellexco,,,,,,,$0,USD,,,0.05M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,,,,,Y,2025,Y,2025,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,https://www.ellex.co/ (chemical-free direct lithium extraction from geothermal brine; battery-grade LiOH; electricity-driven; no toxic chemicals),Haoran,5/8/2026
"Elyte Energy, LLC","Jalaal A. Hayes, PhD",Energy Distribution & Storage,2023,Northeast,,Y,2024,Y,2025,,Y,2025,product/news,N,N,,,,,"Jalaal A. Hayes, PhD",https://www.linkedin.com/in/drjah/,N,N,N,N,N,N,N,N,N,N,Y,2024,https://elyteenergy.com/,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2023,N,N,N,N,N,N,N,N,,,,Not in Crunchbase,,,,,,,$0,USD,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,https://elyteenergy.com/ (novel battery electrolyte technology for improved safety and performance),Haoran,5/8/2026
Greenify,Eric MacBlane,Energy Generation,2023,Northeast,,N,2023,N,2023,,N,N,N,N,N,,,,,Eric MacBlane,https://www.linkedin.com/in/emacblane/,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2023,N,N,N,N,N,N,N,N,,,,Not in Crunchbase,,,,,,,$0,USD,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Haoran,5/8/2026
Foogly,Kevin Speina,Waste,2023,Northeast,,S,2022,S,2022,fooglyfood.com,N,N,N,Y,,,,,,Kevin Speina,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2023,N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/foogly,,,,,,,$0,USD,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Haoran,5/8/2026
Ephemeron Labs,Terrence McGuckin Ph.D,Application Specific Semiconductor,2023,PA,,Y,2023,Y,2025,https://www.ephemeron-labs.com/,Y,2025,product/news,N,N,,,,,Terrence McGuckin Ph.D,https://www.linkedin.com/in/terrence-mcguckin-08163313/,N,N,N,N,N,N,N,N,N,N,Y,2024,https://ephemeronlabs.com/,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2023,N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/ephemeron-labs,,,,,,,$0,USD,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,https://ephemeronlabs.com/ (application-specific semiconductor for clean energy applications),Haoran,5/8/2026
GreenIRR LLC,Celine King,Productivity Software,2023,CT,,Y,2024,Y,2025,https://www.greenirr.com/,Y,2025,product/news,Y,https://www.linkedin.com/company/greenirr/,,,,,Celine King,https://www.linkedin.com/in/celineking/,N,N,N,N,N,N,N,N,N,N,Y,2024,https://www.cleantechopen.org/en/custom/blog/view/107741,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2023 (National Global Forum participant),N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/greenirr,,,,,,,$0,USD,,,0.55M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,https://greenirr.com/ (productivity software for clean energy investment/project finance),Haoran,5/8/2026
